Gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,Symbol,-log10P,Category
Foxd4,58.51769486567959,11.008801098987014,1.4378364218375375,7.656504545153961,1.9106199673438526e-14,5.71577047072761e-13,Foxd4,13.718825687878896,DEG
Fam107a,27.767817390862124,10.543016566163335,2.0418640939425385,5.163427182759419,2.424689298951085e-07,2.7037920651112978e-06,Fam107a,6.6153439042353535,DEG
9030622O22Rik,39.66486120894697,9.937727100660545,1.4346700560051022,6.926838027366763,4.303508243023497e-12,9.597981276536934e-11,9030622O22Rik,11.366177360841416,DEG
Noto,200.99090375608995,9.579945370599301,0.8756925517996611,10.93985023729079,7.432257802038517e-28,7.007456716291671e-26,Noto,27.12887923442064,DEG
Six3os1,17.840551083984977,9.395581397190513,1.994022969853293,4.711872199687739,2.4545129985934236e-06,2.230702676748176e-05,Six3os1,5.610034663624226,DEG
Frmpd2,11.54330759583267,8.635464886869846,2.0955032666392928,4.120950334150113,3.7731276653678856e-05,0.00026580241421681557,Frmpd2,4.42329850001321,DEG
Shh,401.4519767831648,8.519998995877021,0.5742357290489535,14.837110553862265,8.430995805962448e-50,2.9425654484880164e-47,Shh,49.07412112674023,DEG
Kcnj5,12.893061426012475,8.28779024026272,1.7456214478766108,4.747759172152738,2.0568273727369226e-06,1.90762348499899e-05,Kcnj5,5.686802156634791,DEG
Foxa2,631.1110609279442,8.211411443185073,0.5169963677759308,15.882919020320749,8.321403026300828e-57,4.0377071172006997e-54,Foxa2,56.07980344351578,DEG
Pifo,41.215493153169454,7.896886005944876,0.8972463994878083,8.801245689537234,1.3530576331170698e-18,6.202241602126955e-17,Pifo,17.8686837043546,DEG
AC151602.1,10.89969160999978,7.800455091157094,1.5650215602057198,4.9842476867422425,6.220335652268598e-07,6.463484276801278e-06,AC151602.1,6.206186179940201,DEG
Kif12,17.508522357229754,7.740125806503637,2.157099936791467,3.588209185160204,0.0003329571064110304,0.001865347416204179,Kif12,3.47761171138516,DEG
Cfc1,76.02329664670758,7.680345165437347,0.6654096024928539,11.542281831617887,8.075415943314638e-31,9.23289222852307e-29,Cfc1,30.092835099060753,DEG
Samd3,251.6592119740635,7.674421822011353,0.42207308950089667,18.18268449923304,7.078243727578233e-74,6.400662759838244e-71,Samd3,73.15007448723115,DEG
