Gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,Symbol,-log10P,Category
Spink1,131.09330446344975,9.297676941332936,1.9572485889982547,4.750381220656089,2.030335250936237e-06,1.8376473831722246e-05,Spink1,5.6924322450373355,DEG
Fgf5,2859.9705746374902,8.249677268204877,0.2508633727024276,32.88514054218105,3.584783119237974e-237,2.3771891791373417e-233,Fgf5,236.44553711418513,DEG
Kcnk16,61.52483768698728,7.952443056348563,1.9499817162730513,4.078214164770662,4.538295259264245e-05,0.0003113270547855272,Kcnk16,4.343107252545876,DEG
Gm45623,24.927352538044392,7.90304343983437,1.9538728494202489,4.044809488078691,5.236568993891241e-05,0.0003537395706773255,Gm45623,4.280953170088918,DEG
AC151602.1,10.89969160999978,7.779651758692485,2.0578422632535878,3.7804898352084235,0.00015652010996199865,0.0009415818166265502,AC151602.1,3.8054298556610044,DEG
9030622O22Rik,39.66486120894697,7.547072562912006,1.9616266427710998,3.847354230594362,0.00011940027456690943,0.0007402147280255831,9030622O22Rik,3.922994674523596,DEG
Foxj1,229.3770712862235,7.531254025962179,0.4101618374627619,18.36166444091945,2.6631795013026685e-75,1.7660430999638427e-72,Foxj1,74.57459956063653,DEG
Shh,401.4519767831648,7.318527887452868,1.1316140606089182,6.467335589233302,9.974597003592424e-11,1.7033015690083065e-09,Shh,10.001104641771699,DEG
Sox17,189.52731095760691,7.312750457729286,0.5126781390302865,14.263823442054907,3.677417563910906e-46,6.773939353374404e-44,Sox17,45.434457054002166,DEG
Foxa2,631.1110609279442,7.1902051912744165,0.5077076994069751,14.162096024292897,1.57233470182813e-45,2.792859514122216e-43,Foxa2,44.803455000481925,DEG
Pkd1l1,191.5419898793653,7.109513481531921,0.824489519655352,8.622927656501682,6.526368875318062e-18,2.250183403909489e-16,Pkd1l1,17.185328383200957,DEG
Foxd4,58.51769486567959,6.8822669683471815,1.966383474202107,3.4999617615988035,0.0004653249025193068,0.0024633245371791083,Foxd4,3.332243704962274,DEG
Gata1,19.671804217205228,6.859534989649025,1.4555690863168254,4.712613818287666,2.4455940112006654e-06,2.1788019372515018e-05,Gata1,5.611615637786093,DEG
Pifo,41.215493153169454,6.66740406412883,0.9000444988996193,7.4078604694326735,1.2835323966306006e-13,3.0005397765651198e-12,Pifo,12.891593165169134,DEG
Cfc1,76.02329664670758,6.567763813942879,0.6841283444035007,9.600192518948163,7.979524001159936e-22,3.616051263760268e-20,Cfc1,21.09802301464367,DEG
Flt1,303.0080032366586,6.36423685271845,0.37772650415498393,16.848796107003274,1.0707218810204115e-63,4.437696062712514e-61,Flt1,62.97032332209415,DEG
Cfap44,22.855958441235135,6.287791294334052,1.162718487408454,5.407836344245896,6.379067182499932e-08,7.344048757445233e-07,Cfap44,7.1952428239609425,DEG
Cfap206,19.257272830251676,6.250694886029727,1.2008957684384869,5.2050269892760515,1.9396841318943108e-07,2.0735129564699315e-06,Cfap206,6.7122689870513375,DEG
Fam107a,27.767817390862124,6.082216841167532,1.5253606923290457,3.987395815137143,6.680252412869201e-05,0.0004396193896844853,Fam107a,4.175207127427866,DEG
Enpp2,3208.9503752942906,6.069487121552774,0.2313083339389625,26.239811675589635,9.342365371234049e-152,3.0976169449221693e-148,Enpp2,151.0295431518622,DEG
Enkur,18.537429727746346,6.06562894279511,0.9529125508339708,6.365357385089102,1.948355354268037e-10,3.1901713101076813e-09,Enkur,9.710331830659076,DEG
Pga5,38.03192016324184,5.961271547883154,0.9607159164794064,6.205030483650718,5.468630143489442e-10,8.44665590641141e-09,Pga5,9.262121448004642,DEG
Noto,200.99090375608995,5.926383195256733,0.7236521288271445,8.189547103056118,2.6221099366296246e-16,7.705207544949742e-15,Noto,15.581349103694487,DEG
Six2,19.467651792587453,5.8090807022813955,0.9807151697515823,5.923310744497662,3.1552380916479513e-09,4.429802864872572e-08,Six2,8.500967863682135,DEG
Eomes,265.25017408676905,5.7374878669951,0.38715982611116223,14.819429806613613,1.0971176869277227e-49,2.346888092875281e-47,Eomes,48.959746783508336,DEG
Six3,11.066899759402842,5.713634937071986,2.0455968787873426,2.793138274858488,0.00521993733654313,0.019534505901653315,Six3,2.2823347105143825,DEG
Nkx2-2,14.99565963787162,5.713118750500017,2.0357304161354643,2.806422061200783,0.005009502943610158,0.018860532089360425,Nkx2-2,2.300205363864589,DEG
Ehf,10.45860337094276,5.687203035892196,1.1987271733425402,4.744368161801116,2.0915814629405707e-06,1.888784458635484e-05,Ehf,5.6795252158471135,DEG
Wnt9b,17.594057893804685,5.648482245390172,1.2102589732412354,4.66716824272972,3.05379269171707e-06,2.6645680617990962e-05,Wnt9b,5.515160448582552,DEG
Gsc,70.1637004777191,5.604023875443992,0.4355156311681133,12.867560827640613,6.853235452146828e-38,8.115372981250536e-36,Gsc,37.16410434715363,DEG
Gpm6b,183.39924151435915,5.579474885624475,0.35782341555788294,15.592816576649993,8.146126711264682e-55,2.418791713341785e-52,Gpm6b,54.08904883883938,DEG
Lrrc18,24.408693098240068,5.508629744587326,0.8291806696493126,6.643461366407762,3.064008194273377e-11,5.571789672474823e-10,Lrrc18,10.513710077576329,DEG
Gm19554,11.382232948057686,5.344365565539504,1.478707251994877,3.614214753007798,0.0003012592836717955,0.0016787821258730249,Gm19554,3.521059560897378,DEG
Gm33460,10.106189925247195,5.333785181599675,1.4578576150181195,3.6586461713775673,0.00025355111290683636,0.0014403614620698466,Gm33460,3.595934478871828,DEG
Gal,67.07498327391458,5.2988697115487815,0.5346276297026543,9.911327842326205,3.7167322349986544e-23,1.871915723621854e-21,Gal,22.429838725708507,DEG
Ffar4,19.97105742352317,5.293631216996747,0.6564434288777253,8.064108777883407,7.37720506809045e-16,2.064164804846574e-14,Ffar4,15.132108144059275,DEG
